Terme;Collocation;Total (contexte)
data_mining;text_mining;2
data_mining;text_analysis;2
data_mining;standards;2
data_mining;named_entities;2
data_mining;linked_open_data;2
data_mining;geography;2
data_mining;database;2
digitisation;translation;2
digitisation;epigraphy;2
digitisation;archaeology;2
digitisation;translation;2
digitisation;epigraphy;2
digitisation;archaeology;2
encoding;text_encoding;2
encoding;geography;2
encoding;epigraphy;2
encoding;text_encoding;2
encoding;geography;2
encoding;epigraphy;2
linked_open_data;semantic_web;2
linked_open_data;named_entities;2
linked_open_data;maps_and_mapping;2
linked_open_data;encoding;2
linked_open_data;digital_archives_and_library;2
linked_open_data;cultural_studies;2
linked_open_data;semantic_web;2
linked_open_data;named_entities;2
linked_open_data;maps_and_mapping;2
linked_open_data;encoding;2
linked_open_data;digital_archives_and_library;2
linked_open_data;cultural_studies;2
text_analysis;treebank;2
text_analysis;annotation;2
text_analysis;treebank;2
text_analysis;annotation;2
text_mining;digitisation;2
text_mining;data_mining;2
text_mining;digitisation;2
text_mining;data_mining;2
translation;nlp;2
translation;nlp;2
treebank;translation;2
treebank;text_mining;2
treebank;teaching_and_pedagogy;2
treebank;named_entities;2
treebank;data_mining;2
treebank;translation;2
treebank;text_mining;2
treebank;teaching_and_pedagogy;2
treebank;named_entities;2
treebank;data_mining;2
visualisation;text_analysis;2
visualisation;teaching_and_pedagogy;2
visualisation;encoding;2
visualisation;digital_edition;2
visualisation;digital_archives_and_library;2
visualisation;database;2
visualisation;annotation;2
visualisation;text_analysis;2
visualisation;teaching_and_pedagogy;2
visualisation;encoding;2
visualisation;digital_edition;2
visualisation;digital_archives_and_library;2
visualisation;database;2
visualisation;annotation;2
annotation;semantics;1
annotation;semantic_web;1
annotation;nlp;1
annotation;linguistics;1
annotation;glam;1
annotation;semantics;1
annotation;semantic_web;1
annotation;nlp;1
annotation;linguistics;1
annotation;glam;1
data_mining;xml;1
data_mining;text_encoding;1
data_mining;paleography;1
data_mining;encoding;1
data_mining;digitisation;1
data_mining;data_mining;1
data_mining;crowdsourcing;1
data_mining;copyright_license_and_open_access;1
data_mining;annotation;1
digitisation;teaching_and_pedagogy;1
digitisation;standards;1
digitisation;objects_and_artefacts;1
digitisation;metadata;1
digitisation;linked_open_data;1
digitisation;glam;1
digitisation;database;1
digitisation;cultural_studies;1
digitisation;copyright_license_and_open_access;1
encoding;treebank;1
encoding;text_mining;1
encoding;text_analysis;1
encoding;prosopography;1
encoding;named_entities;1
encoding;maps_and_mapping;1
encoding;linked_open_data;1
encoding;digitisation;1
encoding;data_mining;1
encoding;archaeology;1
linked_open_data;treebank;1
linked_open_data;teaching_and_pedagogy;1
linked_open_data;photography;1
linked_open_data;metadata;1
linked_open_data;linked_open_data;1
linked_open_data;geography;1
linked_open_data;digitisation;1
linked_open_data;digital_methods;1
linked_open_data;copyright_license_and_open_access;1
text_analysis;objects_and_artefacts;1
text_analysis;nlp;1
text_analysis;geography;1
text_analysis;epigraphy;1
text_analysis;encoding;1
text_analysis;digital_methods;1
text_analysis;database;1
text_analysis;data_analysis;1
text_mining;xml;1
text_mining;named_entities;1
text_mining;geography;1
text_mining;epigraphy;1
text_mining;digital_archives_and_library;1
text_mining;crowdsourcing;1
translation;visualisation;1
translation;translation;1
translation;text_mining;1
translation;objects_and_artefacts;1
translation;epigraphy;1
translation;digital_methods;1
treebank;visualisation;1
treebank;treebank;1
treebank;manuscript;1
treebank;linked_open_data;1
treebank;digital_archives_and_library;1
treebank;copyright_license_and_open_access;1
visualisation;xml;1
visualisation;translation;1
visualisation;standards;1
visualisation;scholarly_editing;1
visualisation;prosopography;1
visualisation;nlp;1
visualisation;named_entities;1
visualisation;xml;1
visualisation;translation;1
visualisation;standards;1
visualisation;scholarly_editing;1
visualisation;prosopography;1
visualisation;nlp;1
visualisation;named_entities;1
visualisation;geography;1
visualisation;epigraphy;1
visualisation;crowdsourcing;1
